City,AQI,PM2.5/1h,PM10/h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
内江,36,20,28,0.48,17,94,71,10
宁波,48,15,25,0.48,15,93,95,4
宁德,53,24,54,0.83,26,38,44,5
怒江州,29,20,27,0.7,12,47,39,11
盘锦,69,23,18,0.6,18,117,121,9
攀枝花,48,6,17,0.46,16,84,95,7
蓬莱,0,0,0,0.0,0,0,0,0
平顶山,153,34,84,0.73,27,216,217,18
平度,96,40,40,0.6,5,161,153,4
平凉,85,9,34,0.35,16,136,140,10
萍乡,21,7,19,1.42,19,41,40,19
普洱,36,6,16,0.3,10,79,71,6
莆田,48,19,47,0.42,11,57,67,5
濮阳,95,5,77,0.55,11,143,152,4
黔东南州,19,8,12,0.55,27,35,36,7
黔南州,32,7,12,0.3,7,76,63,20
黔西南州,46,6,13,0.75,11,85,90,9
青岛,61,29,59,0.48,19,113,111,4
庆阳,81,10,41,0.5,12,135,135,6
清远,44,20,43,0.47,21,83,83,9
秦皇岛,66,15,33,0.36,15,125,118,7
钦州,41,11,40,0.63,5,65,56,6
齐齐哈尔,56,9,21,0.3,10,105,106,6
七台河,49,15,25,0.53,17,97,97,6
泉州,35,13,27,0.38,19,59,69,8
曲靖,45,4,19,0.5,9,99,88,7
衢州,31,4,23,0.5,13,72,60,2
日喀则,86,2,16,0.4,5,142,142,2
日喀则地区,29,6,27,0.35,2,68,56,5
日照,80,47,66,0.4,11,138,134,5
荣成,68,19,33,0.5,9,112,120,4
乳山,76,11,30,0.5,9,121,130,5
三门峡,120,19,57,0.5,18,160,180,4
三明,26,14,25,1.0,18,33,46,5
三沙,30,7,20,0.3,30,51,58,6
三亚,27,5,18,0.45,2,58,52,3
上海,89,19,29,0.43,19,129,145,4
商洛,111,21,40,0.65,21,152,170,9
商丘,195,146,172,1.2,35,104,115,8
上饶,35,15,29,0.4,7,66,69,2
山南,56,4,17,0.3,8,113,106,4
山南地区,40,5,21,0.45,6,65,79,4
汕头,27,14,21,0.5,7,43,53,6
汕尾,30,7,18,0.63,3,53,59,6
韶关,37,24,36,0.88,18,86,71,15
绍兴,71,29,89,0.67,17,112,102,6
邵阳,31,13,22,0.66,14,54,61,6
沈阳,71,25,31,0.69,21,118,123,10
深圳,27,13,26,0.55,12,41,47,4
石河子,51,3,7,0.3,21,90,100,10
石家庄,85,8,25,0.29,10,163,140,8
十堰,92,20,50,0.65,13,123,149,5
石嘴山,83,9,42,0.53,15,136,138,16
寿光,84,21,54,0.4,15,121,139,10
双鸭山,37,15,33,0.45,11,57,72,2
朔州,77,10,40,0.44,9,146,131,10
四平,49,15,27,0.53,21,85,97,5
松原,71,4,23,0.45,15,117,123,2
绥化,48,13,25,0.45,14,89,94,5
遂宁,36,23,35,0.5,13,90,69,9
随州,117,17,30,0.63,6,149,177,3
宿迁,123,33,78,0.9,20,208,184,10
苏州,115,29,52,0.5,25,208,175,4
宿州,132,37,108,0.77,9,247,194,7
塔城地区,49,4,22,0.1,4,97,96,1
泰安,88,3,50,0.13,11,145,144,6
太仓,107,12,35,0.7,36,118,166,11
太原,76,13,36,0.49,17,139,129,11
台州,27,10,16,0.53,22,53,52,3
泰州,155,40,70,0.75,17,258,219,8
唐山,65,26,78,1.28,25,150,114,21
天津,60,36,68,0.79,25,129,96,14
天水,41,12,40,0.4,29,65,67,9
铁岭,63,10,21,0.38,13,96,114,5
铜川,111,19,53,0.53,18,177,171,8
通化,34,6,23,0.1,13,58,67,4
通辽,51,23,39,0.47,28,88,100,8
铜陵,76,36,52,0.62,13,163,130,20
铜仁地区,28,7,27,0.55,16,45,40,5
吐鲁番地区,71,13,50,0.5,14,125,123,5
瓦房店,0,0,0,0.0,0,0,0,0
潍坊,91,22,48,0.3,8,128,147,7
威海,80,25,36,0.4,17,123,134,2
渭南,149,23,74,0.63,23,230,212,9
文登,74,10,36,0.5,11,115,127,5
文山州,35,11,23,0.3,7,75,69,5
温州,34,22,33,0.75,30,61,67,6
乌海,81,12,49,0.43,13,145,136,16
武汉,92,44,72,1.16,32,164,149,4
芜湖,152,32,53,0.98,27,221,216,6
吴江,118,28,52,0.73,15,202,178,6
五家渠,54,5,42,0.4,5,110,103,7
乌兰察布,68,6,9,0.25,8,125,120,11
乌鲁木齐,55,9,29,0.54,15,101,104,4
武威,58,13,42,0.5,20,110,108,4
无锡,130,44,71,0.71,18,220,191,5
吴忠,101,14,56,0.57,16,196,160,16
梧州,39,18,38,0.7,13,51,55,6
厦门,28,11,22,0.45,23,35,55,2
西安,134,28,62,0.6,20,217,196,5
湘潭,42,13,22,0.87,15,89,83,7
湘西州,26,18,23,0.73,6,36,45,4
襄阳,117,27,51,0.8,13,179,177,8
咸宁,62,13,37,0.85,5,129,113,5
咸阳,91,27,61,0.68,21,163,148,7
孝感,92,46,53,0.5,7,156,149,5
锡林郭勒盟,60,2,29,0.2,6,119,110,4
兴安盟,65,20,25,0.4,12,111,116,3
邢台,103,15,29,0.38,11,168,162,13
西宁,71,27,43,0.65,22,122,123,21
新乡,100,16,69,0.55,18,175,158,17
信阳,121,22,40,0.53,5,171,181,7
新余,35,11,34,0.74,14,47,52,9
忻州,77,2,21,0.43,13,147,131,11
西双版纳州,37,17,26,0.6,18,45,73,5
宣城,86,41,48,0.57,15,133,141,6
许昌,144,20,109,0.6,26,217,207,7
徐州,148,40,107,0.39,14,207,211,12
雅安,44,18,24,0.38,16,84,87,5
延安,90,8,35,0.53,22,143,146,4
延边州,36,7,17,0.5,13,73,71,5
盐城,125,35,57,0.68,14,202,186,8
阳江,28,7,27,0.5,6,35,39,6
阳泉,97,12,26,0.42,12,168,155,6
扬州,121,40,89,0.64,26,197,182,10
烟台,74,24,48,0.27,13,117,127,3
宜宾,56,21,32,0.6,14,108,106,3
宜昌,51,24,44,0.6,15,117,100,4
宜春,28,13,24,0.63,12,52,55,7
伊春,28,14,20,0.43,9,47,55,4
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,54,8,13,0.57,10,114,103,14
银川,74,14,41,0.56,16,132,127,22
营口,76,8,11,0.38,11,132,130,2
鹰潭,40,5,8,0.36,3,87,78,4
义乌,37,17,18,0.7,13,75,73,4
宜兴,97,34,64,0.7,13,195,155,8
益阳,34,9,16,1.08,13,67,66,4
永州,32,4,12,0.38,8,63,62,6
岳阳,65,24,35,1.03,8,113,116,7
玉林,43,17,25,0.4,4,77,85,7
榆林,55,23,58,0.87,37,103,94,20
运城,129,14,30,0.48,14,168,190,3
云浮,28,15,20,0.5,4,58,55,7
玉树州,70,5,14,0.4,4,128,122,8
玉溪,36,9,17,0.3,7,82,70,6
枣庄,143,19,75,0.52,13,174,206,9
张家港,139,25,68,1.25,28,161,201,15
张家界,40,20,39,1.02,13,55,57,2
张家口,53,6,14,0.13,4,109,102,5
章丘,88,28,78,0.8,11,156,144,16
张掖,76,16,38,0.2,8,126,129,11
漳州,47,20,46,0.58,23,46,71,8
湛江,40,9,25,0.47,10,67,78,7
肇庆,32,13,25,0.45,8,58,63,5
昭通,52,8,33,0.45,7,107,101,6
招远,0,0,0,0.0,0,0,0,0
郑州,121,20,109,0.5,25,200,181,5
镇江,169,41,85,0.73,13,246,233,6
中山,26,11,19,0.38,7,43,50,2
中卫,76,7,44,0.47,8,137,130,5
周口,161,22,103,0.85,15,255,225,9
舟山,43,9,20,0.6,16,79,84,4
珠海,26,6,16,0.45,7,43,50,2
诸暨,66,38,60,0.55,8,143,118,4
驻马店,130,30,47,0.43,12,171,191,3
株洲,38,11,15,1.04,11,86,75,7
淄博,108,16,52,0.43,11,154,167,14
自贡,54,23,44,0.4,16,134,103,6
资阳,48,8,18,0.42,12,122,95,5
遵义,33,7,13,0.57,16,69,64,6
